Date,Open,High,Low,Close,Volume,Adj Close
2017-03-21,858.840027,862.799988,841.309998,843.200012,4349100,843.200012
2017-03-20,851.51001,857.799988,851.01001,856.969971,2223300,856.969971
2017-03-17,853.48999,853.830017,850.640015,852.309998,3380700,852.309998
2017-03-16,855.299988,855.50,850.51001,853.419983,1832600,853.419983
2017-03-15,854.330017,854.450012,847.109985,852.969971,2556700,852.969971
2017-03-14,853.549988,853.75,847.549988,852.530029,2128700,852.530029
2017-03-13,851.77002,855.690002,851.710022,854.590027,1906100,854.590027
2017-03-10,857.00,857.349976,851.719971,852.460022,2422000,852.460022
2017-03-09,851.00,856.400024,850.309998,853.00,2040600,853.00
2017-03-08,848.00,853.070007,846.789978,850.50,2286500,850.50
2017-03-07,845.47998,848.460022,843.75,846.02002,2217800,846.02002
2017-03-06,845.22998,848.48999,841.119995,846.609985,2598400,846.609985
2017-03-03,847.200012,851.98999,846.27002,849.880005,1941100,849.880005
2017-03-02,853.080017,854.820007,847.280029,848.909973,2129200,848.909973
2017-03-01,853.049988,854.830017,849.01001,853.080017,2752000,853.080017
2017-02-28,851.450012,854.090027,842.049988,845.039978,2777700,845.039978
2017-02-27,842.380005,852.50,839.669983,848.640015,2702300,848.640015
2017-02-24,844.690002,845.809998,837.75,845.23999,3676400,845.23999
2017-02-23,857.570007,860.859985,848.00,852.190002,3454600,852.190002
2017-02-22,856.950012,858.429993,852.179993,855.609985,2613400,855.609985
