Date,Open,High,Low,Close,Volume,Adj Close
2017-03-21,141.149994,142.309998,138.399994,138.509995,29698100,138.509995
2017-03-20,139.710007,140.190002,139.25,139.940002,11775900,139.940002
2017-03-17,140.339996,140.339996,139.699997,139.839996,20474300,139.839996
2017-03-16,140.199997,140.25,139.729996,139.990005,13594000,139.990005
2017-03-15,139.289993,140.100006,138.490005,139.720001,19299100,139.720001
2017-03-14,139.460007,139.460007,138.520004,139.320007,12928400,139.320007
2017-03-13,138.710007,139.679993,138.669998,139.600006,10946300,139.600006
2017-03-10,138.910004,139.490005,138.220001,138.789993,16292900,138.789993
2017-03-09,137.720001,138.570007,137.399994,138.240005,15460800,138.240005
2017-03-08,137.149994,137.990005,137.050003,137.720001,9963600,137.720001
2017-03-07,137.029999,138.369995,136.990005,137.300003,13233100,137.300003
2017-03-06,136.880005,137.830002,136.509995,137.419998,12550100,137.419998
2017-03-03,136.630005,137.330002,136.080002,137.169998,11130300,137.169998
2017-03-02,137.089996,137.820007,136.309998,136.759995,12270200,136.759995
2017-03-01,136.470001,137.479996,136.300003,137.419998,16211900,137.419998
2017-02-28,136.789993,136.809998,134.75,135.539993,16028700,135.539993
2017-02-27,135.259995,137.179993,135.020004,136.410004,14286000,136.410004
2017-02-24,134.160004,135.619995,134.160004,135.440002,12589600,135.440002
2017-02-23,135.889999,136.119995,134.330002,135.360001,18400800,135.360001
2017-02-22,133.600006,136.789993,133.460007,136.119995,27312900,136.119995
